Complexity,Loss,Equation
1,638.5755,"30.102713"
3,394.28195,"(pt1 + pt2)"
5,370.09653,"square(log_abs(E2 * pt1))"
7,365.79797,"square(log_abs(E2 * (pt1 - 0.6834011)))"
8,362.77396,"square(log1p_abs(E2) + cube(acosh_abs(log10_abs(pt1))))"
9,352.5749,"square(log_abs(E2) + square(log10_abs(pt1) + 0.43259287))"
10,148.44992,"square(log_abs(E2 * pt1) - (eta2 * atan(eta1)))"
11,134.94487,"square((log_abs(E2) + log_abs(pt1)) - (atan(eta2) * eta1))"
12,110.67106,"square((acosh_abs(E2) + cube(log10_abs(pt1))) - (atan(eta2) * eta1))"
13,78.20971,"square((log1p_abs(E2) * (log10_abs(pt1) + 0.64818555)) - (asinh(eta2) * eta1))"
14,75.16558,"square((log1p_abs(E2) * (log10_abs(pt1) + 0.6467484)) - (sinh(atan(eta2)) * eta1))"
15,66.21174,"(square((log1p_abs(E2) * (log10_abs(pt1) + 0.5227959)) - (asinh(eta2) * eta1)) - -5.962268)"
16,60.601246,"(square((log1p_abs(E2) * (log10_abs(pt1) + 0.61686873)) - (asinh(eta2) * eta1)) + sqrt_abs(pz1))"
17,55.47597,"(square((log1p_abs(E2) * (log10_abs(pt1) + sin(0.61686873))) - (asinh(eta2) * eta1)) + sqrt_abs(pz1))"
