Complexity,Loss,Equation
1,0.66766024,"1.6228696"
3,0.526484,"acosh_abs(log2_abs(redshift))"
4,0.22415616,"exp(pow_abs(9.188288e-37, redshift))"
6,0.17014652,"(exp(pow_abs(5.248722e-37, redshift)) - -0.23250611)"
7,0.14207204,"(exp(pow_abs(3.6908513e-37, redshift)) + log1p_abs(redshift))"
8,0.08085809,"(exp(pow_abs(5.248722e-37, redshift)) + tanh(quart(redshift)))"
9,0.07748499,"(exp(pow_abs(5.248722e-37, redshift)) + tanh(quart(quart(redshift))))"
10,0.07053061,"(cosh(pow_abs(4.8162064e-19, redshift) * -1.7336589) + tanh(quart(redshift)))"
11,0.06443238,"(cosh(pow_abs(-4.3103415e-19, redshift) * -1.7336589) + square(tanh(cube(redshift))))"
12,0.06432793,"(cosh(pow_abs(-3.7016317e-19, redshift) * -1.7335621) + tanh(square(atan(quart(redshift)))))"
13,0.055509765,"cosh((mod(pow_abs(2.827495e-19, log1p_abs(redshift)), 1.0) * 1.7883697) - atan(square(redshift)))"
14,0.051340517,"cosh((mod(pow_abs(-2.8049475e-19, abs(redshift)), 1.0) * 1.7883697) - sqrt_abs(atan(quart(redshift))))"
15,0.04792201,"cosh((mod(pow_abs(-2.1901305e-19, abs(redshift)), 1.0) * 1.7883697) - sqrt_abs(tan(tanh(quart(redshift)))))"
16,0.047006886,"cosh((mod(pow_abs(-2.1901305e-19, log1p_abs(redshift)), 1.0) * 1.7883697) - tan(sin(sinh(tanh(cube(redshift))))))"
18,0.046656553,"cosh((mod(pow_abs(2.4972578e-19, log1p_abs(redshift)), 1.0) * 1.7883697) + tan(sin(sinh(pow_abs(tanh(cube(redshift)), 0.8065722)))))"
